Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Kelly V,Kevin S,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,359
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Throwaway,Kevin S,Anonymous,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,365
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Defense,D,,,Vincen V,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,429
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Vincen V,Lauchl R,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,459
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Lauchl R,Jackso S,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,466
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Jackso S,Kevin S,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,470
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Kevin S,Vincen V,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,476
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Vincen V,Kevin S,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,479
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Kevin S,Steven C,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,483
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Catch,Steven C,Vincen V,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,487
2016-05-20 19:07,AUDL,Seattle Cascades,166,O,1,2,Offense,Goal,Vincen V,Kelly V,,,Lauchl R,Steven C,Kevin S,Jon G,Jackso S,Vincen V,Kelly V,,,,,,,,,,,,,,,,,,,,,,491
2016-05-20 19:07,AUDL,Seattle Cascades,84,D,1,3,Defense,Pull,,,Matt J,8.717,Andy S,Tommy A,Evan B,Matt J,Josiah M,Kohji S,Ethan F,,,,,,,,,,,,,,,,,,,,,,561
2016-05-20 19:07,AUDL,Seattle Cascades,84,D,1,3,Defense,Throwaway,,,Anonymous,,Andy S,Tommy A,Evan B,Matt J,Josiah M,Kohji S,Ethan F,,,,,,,,,,,,,,,,,,,,,,571
